Tracy Murray,29
Trajan Langdon,51
Travis Best,113
Travis Knight,20
Troy Hudson,52
Tyrone Corbin,12
Tyrone Hill,148
Tyrone Nesby,116
Tyronn Lue,26
Tyus Edney,8
UNKNOWN,243
Vernon Maxwell,21
Vin Baker,165
Vince Carter,119
Vinny Del Negro,39
Vitaly Potapenko,120
Vlade Divac,150
Vladimir Stepania,15
Vonteego Cummings,92
Voshon Lenard,91
Wally Szczerbiak,106
Walt Williams,97
Walter McCarty,51
Wang Zhi-zhi,4
Wesley Person,36
Will Perdue,7
William Avery,21
Zan Tabak,79
Zydrunas Ilgauskas,40
